[Date: 08.07.2024 time: 08:15:20] | Succesfully started BankingLogger
[Date: 08.07.2024 time: 15:26:15] | Player: 76561198870837165 withdrawed 500000 from own account.
[Date: 08.07.2024 time: 16:23:44] | Player: 76561198381729386 withdrawed 100000 from own account.
[Date: 08.07.2024 time: 16:45:04] | Player: 76561198381729386 withdrawed 10000 from own account.
[Date: 08.07.2024 time: 16:45:35] | Player: 76561198381729386 withdrawed 100000 from own account.
[Date: 08.07.2024 time: 17:47:10] | Player: 76561198870837165 Deposited 11122 on own account.
[Date: 08.07.2024 time: 17:47:18] | Player: 76561198870837165 withdrawed 500000 from own account.
[Date: 08.07.2024 time: 18:10:58] | Player: 76561198119727377 withdrawed 5000 from own account.
[Date: 08.07.2024 time: 18:11:34] | Player: 76561198119727377 withdrawed 100000 from own account.
[Date: 08.07.2024 time: 18:22:55] | Player: 76561198119727377 withdrawed 1000000 from own account.
[Date: 08.07.2024 time: 20:10:54] | Player: 76561198291638036 withdrawed 900000 from own account.
[Date: 08.07.2024 time: 20:34:08] | Player: 76561198291638036 Deposited 891634 on own account.
